autor;title;path;liczba_wersow;avg_dlugosc_wersu;rhymes_type;epoka
Adam_Asnyk;Miłość_jak_słońce.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Miłość_jak_słońce.txt;30;29.566666666666666;ABAB;Pozytywizm
Adam_Asnyk;Morskie_Oko.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Morskie_Oko.txt;92;34.27173913043478;ABAB;Pozytywizm
Adam_Asnyk;Myślałem_że_to_sen....txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Myślałem_że_to_sen....txt;28;37.714285714285715;AABB;Pozytywizm
Adam_Asnyk;Nad_głębiami_XXX__Taką_jak_byłaś__nie_wstaniesz_z_mogiły!.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Nad_głębiami_XXX__Taką_jak_byłaś__nie_wstaniesz_z_mogiły!.txt;19;29.42105263157895;ABAB;Pozytywizm
Adam_Asnyk;Nad_głębiami__I.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Nad_głębiami__I.txt;18;30.61111111111111;ABAB;Pozytywizm
Adam_Asnyk;Nad_głębiami__II.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Nad_głębiami__II.txt;18;30.055555555555557;ABAB;Pozytywizm
Adam_Asnyk;Nad_głębiami__III.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Nad_głębiami__III.txt;18;28.27777777777778;ABAB;Pozytywizm
Adam_Asnyk;Nad_głębiami__IV.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Nad_głębiami__IV.txt;18;30.38888888888889;ABAB;Pozytywizm
Adam_Asnyk;Nad_głębiami__IX.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Nad_głębiami__IX.txt;18;30.666666666666668;ABAB;Pozytywizm
Adam_Asnyk;Nad_głębiami__V.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Nad_głębiami__V.txt;18;32.166666666666664;ABAB;Pozytywizm
Adam_Asnyk;Nad_głębiami__VII.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Nad_głębiami__VII.txt;18;28.5;ABAB;Pozytywizm
Adam_Asnyk;Nad_głębiami__VIII.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Nad_głębiami__VIII.txt;18;30.72222222222222;ABAB;Pozytywizm
Adam_Asnyk;Nad_głębiami__X.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Nad_głębiami__X.txt;18;30.833333333333332;ABAB;Pozytywizm
Adam_Asnyk;Nad_głębiami__XI.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Nad_głębiami__XI.txt;18;30.22222222222222;ABAB;Pozytywizm
Adam_Asnyk;Nad_głębiami__XII.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Nad_głębiami__XII.txt;18;30.555555555555557;ABAB;Pozytywizm
Adam_Asnyk;Nad_głębiami__XIII.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Nad_głębiami__XIII.txt;18;29.27777777777778;ABAB;Pozytywizm
Adam_Asnyk;Nad_głębiami__XIV.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Nad_głębiami__XIV.txt;18;28.555555555555557;ABAB;Pozytywizm
Adam_Asnyk;Nad_głębiami__XIX.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Nad_głębiami__XIX.txt;18;29.0;ABAB;Pozytywizm
Adam_Asnyk;Nad_głębiami__XV.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Nad_głębiami__XV.txt;18;31.333333333333332;ABAB;Pozytywizm
Adam_Asnyk;Nad_głębiami__XVI.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Nad_głębiami__XVI.txt;18;29.72222222222222;ABAB;Pozytywizm
Adam_Asnyk;Nad_głębiami__XVII.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Nad_głębiami__XVII.txt;18;29.38888888888889;ABAB;Pozytywizm
Adam_Asnyk;Nad_głębiami__XVIII.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Nad_głębiami__XVIII.txt;18;28.77777777777778;ABAB;Pozytywizm
Adam_Asnyk;Nad_głębiami__XX.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Nad_głębiami__XX.txt;18;29.333333333333332;ABAB;Pozytywizm
Adam_Asnyk;Nad_głębiami__XXI.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Nad_głębiami__XXI.txt;18;30.166666666666668;ABBA;Pozytywizm
Adam_Asnyk;Nad_głębiami__XXII.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Nad_głębiami__XXII.txt;18;30.22222222222222;ABAB;Pozytywizm
Adam_Asnyk;Nad_głębiami__XXIII.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Nad_głębiami__XXIII.txt;18;30.22222222222222;ABBA;Pozytywizm
Adam_Asnyk;Nad_głębiami__XXIV.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Nad_głębiami__XXIV.txt;18;30.27777777777778;ABAB;Pozytywizm
Adam_Asnyk;Nad_głębiami__XXV.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Nad_głębiami__XXV.txt;18;29.444444444444443;ABBA;Pozytywizm
Adam_Asnyk;Nad_głębiami__XXVI.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Nad_głębiami__XXVI.txt;18;31.166666666666668;ABBA;Pozytywizm
Adam_Asnyk;Nad_głębiami__XXVII.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Nad_głębiami__XXVII.txt;18;28.833333333333332;ABAB;Pozytywizm
Adam_Asnyk;Nad_głębiami__XXVIII.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Nad_głębiami__XXVIII.txt;18;28.333333333333332;ABAB;Pozytywizm
Adam_Asnyk;Nad_przepaścią.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Nad_przepaścią.txt;76;23.0;ABAB;Pozytywizm
Adam_Asnyk;Najpiękniejsze_piosnki.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Najpiękniejsze_piosnki.txt;26;20.807692307692307;ABAB;Pozytywizm
Adam_Asnyk;Nawrócenie.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Nawrócenie.txt;18;24.555555555555557;ABAB;Pozytywizm
Adam_Asnyk;Na_grobie_Wincentego_Pola.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Na_grobie_Wincentego_Pola.txt;33;27.87878787878788;ABAB;Pozytywizm
Adam_Asnyk;Na_Nowy_Rok.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Na_Nowy_Rok.txt;97;21.5979381443299;ABBA;Pozytywizm
Adam_Asnyk;Na_obchód_Słowackiego.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Na_obchód_Słowackiego.txt;40;40.05;ABAB;Pozytywizm
Adam_Asnyk;Na_pamiątkę.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Na_pamiątkę.txt;21;24.571428571428573;ABAB;Pozytywizm
Adam_Asnyk;Na_początku.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Na_początku.txt;27;21.444444444444443;ABAB;Pozytywizm
Adam_Asnyk;Na_przedpieklu.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Na_przedpieklu.txt;114;25.99122807017544;ABBA;Pozytywizm
Adam_Asnyk;Na_zgon_poezji.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Na_zgon_poezji.txt;84;32.714285714285715;ABAB;Pozytywizm
Adam_Asnyk;Na_śniegu.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Na_śniegu.txt;31;20.612903225806452;ABAB;Pozytywizm
Adam_Asnyk;Niebajka.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Niebajka.txt;21;20.904761904761905;ABAB;Pozytywizm
Adam_Asnyk;Niezabudki_kwiecie.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Niezabudki_kwiecie.txt;136;21.169117647058822;ABAB;Pozytywizm
Adam_Asnyk;Niezręczny.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Niezręczny.txt;38;28.342105263157894;ABAB;Pozytywizm
Adam_Asnyk;Nie_będę_cię_rwała.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Nie_będę_cię_rwała.txt;41;16.70731707317073;;Pozytywizm
Adam_Asnyk;Nie_mów!.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Nie_mów!.txt;16;29.9375;ABAB;Pozytywizm
Adam_Asnyk;Nieśmiertelni.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Nieśmiertelni.txt;29;23.896551724137932;ABAB;Pozytywizm
Adam_Asnyk;Noc_pod_Wysoką.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Noc_pod_Wysoką.txt;142;35.07746478873239;ABAB;Pozytywizm
Adam_Asnyk;Nokturno.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Nokturno.txt;80;23.15;ABAB;Pozytywizm
Adam_Asnyk;Oda.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Oda.txt;82;25.524390243902438;ABAB;Pozytywizm
Adam_Asnyk;Odpoczywa__I.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Odpoczywa__I.txt;21;18.238095238095237;ABAB;Pozytywizm
Adam_Asnyk;Odpoczywa__II.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Odpoczywa__II.txt;21;18.571428571428573;ABAB;Pozytywizm
Adam_Asnyk;Odpoczywa__III.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Odpoczywa__III.txt;30;19.366666666666667;ABAB;Pozytywizm
Adam_Asnyk;Odpoczywa__IV.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Odpoczywa__IV.txt;36;18.88888888888889;ABAB;Pozytywizm
Adam_Asnyk;Odpoczywa__V.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Odpoczywa__V.txt;31;18.870967741935484;ABAB;Pozytywizm
Adam_Asnyk;Odpoczywa__VI.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Odpoczywa__VI.txt;66;19.515151515151516;ABAB;Pozytywizm
Adam_Asnyk;Odpoczywa__VII.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Odpoczywa__VII.txt;81;19.296296296296298;ABAB;Pozytywizm
Adam_Asnyk;Odpoczywa__VIII.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Odpoczywa__VIII.txt;21;18.333333333333332;ABAB;Pozytywizm
Adam_Asnyk;Opowieść_ducha_spisana_na_posiedzeniu_spirytystów_w_dniu_31_grudnia_1893_roku.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Opowieść_ducha_spisana_na_posiedzeniu_spirytystów_w_dniu_31_grudnia_1893_roku.txt;196;24.693877551020407;ABBA;Pozytywizm
Adam_Asnyk;Oświadczyny.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Oświadczyny.txt;118;33.483050847457626;ABAB;Pozytywizm
Adam_Asnyk;Pamięci_Józefa_P....txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Pamięci_Józefa_P....txt;30;33.36666666666667;ABBA;Pozytywizm
Adam_Asnyk;Panieneczka.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Panieneczka.txt;41;18.585365853658537;ABAB;Pozytywizm
Adam_Asnyk;Pan_Jezus_chodzi_po_świecie.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Pan_Jezus_chodzi_po_świecie.txt;46;21.891304347826086;ABAB;Pozytywizm
Adam_Asnyk;Pierwiosnki.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Pierwiosnki.txt;64;24.703125;AABB;Pozytywizm
Adam_Asnyk;Pierwsze_uczucia_to_kwiaty_wiosenne.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Pierwsze_uczucia_to_kwiaty_wiosenne.txt;19;28.36842105263158;ABBA;Pozytywizm
Adam_Asnyk;Pijąc_Falerno.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Pijąc_Falerno.txt;81;20.34567901234568;ABAB;Pozytywizm
Adam_Asnyk;Piosnka_pijaka.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Piosnka_pijaka.txt;55;23.054545454545455;ABBA;Pozytywizm
Adam_Asnyk;Pobudka.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Pobudka.txt;71;22.04225352112676;ABAB;Pozytywizm
Adam_Asnyk;Podczas_burzy.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Podczas_burzy.txt;14;30.071428571428573;ABAB;Pozytywizm
